parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Vinyl chloride,2002,Parts per billion Carbon,0.05,Minneapolis-St. Paul-Bloomington MN-WI
Tetrachloroethylene,2013,Parts per billion Carbon,0.03,Minneapolis-St. Paul-Bloomington MN-WI
Tetrachloroethylene,2002,Parts per billion Carbon,0.01,Corpus Christi TX
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00265,Seattle-Tacoma-Bellevue WA
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,La Grande OR
13-Butadiene,2007,Parts per billion Carbon,0,Washington-Arlington-Alexandria DC-VA-MD-WV
Carbon tetrachloride,1999,Parts per billion Carbon,0.1,Minneapolis-St. Paul-Bloomington MN-WI
12-Dichloropropane,2014,Parts per billion Carbon,0,Terre Haute IN
Formaldehyde,2004,Parts per billion Carbon,0.93171,Burlington-South Burlington VT
cis-13-Dichloropropene,2010,Parts per billion Carbon,0,Boston-Cambridge-Newton MA-NH
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00089,
Carbon tetrachloride,2008,Parts per billion Carbon,0.1,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0.002,
Chloroform,2011,Parts per billion Carbon,0.03,Vallejo-Fairfield CA
12-Dichloropropane,2002,Parts per billion Carbon,0,Nashville-Davidson--Murfreesboro--Franklin TN
Benzene,1996,Parts per billion Carbon,3.37619,Baltimore-Columbia-Towson MD
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Elko NV
Chloroform,2003,Parts per billion Carbon,0,Albany-Schenectady-Troy NY
Carbon tetrachloride,2006,Parts per billion Carbon,0.1,San Francisco-Oakland-Hayward CA
Mercury PM10 STP,1998,Nanograms/cubic meter (25 C),1,Hanford-Corcoran CA
Benzene,2012,Parts per billion Carbon,0,Winston-Salem NC
Dichloromethane,2015,Parts per billion Carbon,1.03,Portland-Vancouver-Hillsboro OR-WA
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Glenwood Springs CO
Chloroform,2012,Parts per billion Carbon,0.01,San Jose-Sunnyvale-Santa Clara CA
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0.002,
cis-13-Dichloropropene,2007,Parts per billion Carbon,0,Manchester-Nashua NH
Carbon tetrachloride,1998,Parts per billion Carbon,0.1,El Paso TX
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Fairbanks AK
Arsenic (TSP) STP,1991,Micrograms/cubic meter (25 C),0,Denver-Aurora-Lakewood CO
Lead PM10 STP,1991,Micrograms/cubic meter (25 C),0.001,Georgetown SC
1122-Tetrachloroethane,2007,Parts per billion Carbon,0,Lewiston-Auburn ME
Acetaldehyde,2003,Parts per billion Carbon,1.6,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Glenwood Springs CO
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Emporia KS
Benzene,2003,Parts per billion Carbon,4.14,Houston-The Woodlands-Sugar Land TX
Chloroform,1993,Parts per billion Carbon,0.31,New York-Newark-Jersey City NY-NJ-PA
12-Dichloropropane,2002,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.002,Charlotte-Concord-Gastonia NC-SC
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.004,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Vinyl chloride,2001,Parts per billion Carbon,0.01,El Paso TX
Ethylene dibromide,2006,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM10 STP,1992,Nanograms/cubic meter (25 C),44,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Miami-Fort Lauderdale-West Palm Beach FL
Trichloroethylene,1998,Parts per billion Carbon,0.08,Baltimore-Columbia-Towson MD
Vinyl chloride,2007,Parts per billion Carbon,0.01,Beaumont-Port Arthur TX
Ethylene dichloride,1996,Parts per billion Carbon,0.04,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,1991,Micrograms/cubic meter (LC),0,
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Burlington-South Burlington VT
Carbon tetrachloride,2013,Parts per billion Carbon,0.08,
Vinyl chloride,2006,Parts per billion Carbon,0.1,La Grande OR
Carbon tetrachloride,2016,Parts per billion Carbon,0.1,Detroit-Warren-Dearborn MI
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Shreveport-Bossier City LA
Nickel (TSP) STP,2009,Micrograms/cubic meter (25 C),0.012,Chicago-Naperville-Elgin IL-IN-WI
Chromium (TSP) STP,2008,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Tetrachloroethylene,1994,Parts per billion Carbon,0.05,Rochester NY
Cadmium (TSP) STP,1991,Micrograms/cubic meter (25 C),0,Denver-Aurora-Lakewood CO
Ethylene dichloride,2007,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Beryllium (TSP) STP,2004,Nanograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Dichloromethane,2011,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
trans-13-Dichloropropene,2009,Parts per billion Carbon,0,Cleveland-Elyria OH
Dichloromethane,2003,Parts per billion Carbon,0.06,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Charleston WV
Formaldehyde,2008,Parts per billion Carbon,2.8,New York-Newark-Jersey City NY-NJ-PA
Dichloromethane,2016,Parts per billion Carbon,0.1,Richmond VA
Trichloroethylene,2004,Parts per billion Carbon,0.04,Tampa-St. Petersburg-Clearwater FL
Tetrachloroethylene,2011,Parts per billion Carbon,0.05,Miami-Fort Lauderdale-West Palm Beach FL
Manganese PM10 STP,1998,Nanograms/cubic meter (25 C),3,Bishop CA
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Helena MT
Ethylene dibromide,2012,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Dover DE
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.012,Fargo ND-MN
13-Butadiene,2004,Parts per billion Carbon,0,Winchester VA-WV
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Tallahassee FL
Arsenic PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Bangor ME
Manganese (TSP) STP,1996,Micrograms/cubic meter (25 C),0.008,San Francisco-Oakland-Hayward CA
Dichloromethane,2005,Parts per billion Carbon,0.1,Lewiston-Auburn ME
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0,San Juan-Carolina-Caguas PR
Manganese PM10 STP,1996,Nanograms/cubic meter (25 C),32,Bakersfield CA
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00099,
Trichloroethylene,1993,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Vinyl chloride,2001,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Carbon tetrachloride,2002,Parts per billion Carbon,0.1,New York-Newark-Jersey City NY-NJ-PA
Dichloromethane,2012,Parts per billion Carbon,0.04,Beaumont-Port Arthur TX
Arsenic (TSP) STP,2011,Micrograms/cubic meter (25 C),0.002,Virginia Beach-Norfolk-Newport News VA-NC
Benzene,1994,Parts per billion Carbon,6.084,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0.0169,Cleveland-Elyria OH
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.009,Youngstown-Warren-Boardman OH-PA
Chloroform,1999,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
cis-13-Dichloropropene,2009,Parts per billion Carbon,0.03,Corpus Christi TX
13-Butadiene,1996,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Trichloroethylene,1991,Parts per billion Carbon,0.04,Baltimore-Columbia-Towson MD
Carbon tetrachloride,2005,Parts per billion Carbon,0.1,
Manganese (TSP) STP,2007,Micrograms/cubic meter (25 C),0.00908,Tulsa OK
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0,St. Louis MO-IL
Trichloroethylene,2007,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Milwaukee-Waukesha-West Allis WI
Nickel PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
Vinyl chloride,1999,Parts per billion Carbon,0,Midland MI
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Toledo OH
Arsenic (TSP) STP,1994,Micrograms/cubic meter (25 C),0,Buffalo-Cheektowaga-Niagara Falls NY
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.0023,Detroit-Warren-Dearborn MI
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,Flagstaff AZ
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0.013,Kansas City MO-KS
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0.0024,Tulsa OK
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Fort Collins CO
cis-13-Dichloropropene,2014,Parts per billion Carbon,0,Raleigh NC
Acetaldehyde,2005,Parts per billion Carbon,2.5,Lexington-Fayette KY
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.002,Atlanta-Sandy Springs-Roswell GA
1122-Tetrachloroethane,2007,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Chloroform,2012,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Carbon tetrachloride,2004,Parts per billion Carbon,0.11,San Francisco-Oakland-Hayward CA
trans-13-Dichloropropene,2012,Parts per billion Carbon,0,Savannah GA
Chloroform,2013,Parts per billion Carbon,0,Douglas GA
13-Butadiene,2012,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,
cis-13-Dichloropropene,2001,Parts per billion Carbon,0.03,Washington-Arlington-Alexandria DC-VA-MD-WV
Arsenic PM10 STP,1997,Nanograms/cubic meter (25 C),0,
Nickel (TSP) STP,1994,Micrograms/cubic meter (25 C),0.007,Chicago-Naperville-Elgin IL-IN-WI
trans-13-Dichloropropene,2000,Parts per billion Carbon,0,San Antonio-New Braunfels TX
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,San Jose-Sunnyvale-Santa Clara CA
Cadmium PM2.5 LC,2014,Micrograms/cubic meter (LC),0.011,Atlanta-Sandy Springs-Roswell GA
Lead PM2.5 LC,2014,Micrograms/cubic meter (LC),0.005,Montgomery AL
Arsenic PM10 STP,1996,Nanograms/cubic meter (25 C),1,Riverside-San Bernardino-Ontario CA
Cadmium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Decatur IL
Nickel PM2.5 LC,2005,Micrograms/cubic meter (LC),0.00055,New Orleans-Metairie LA
Trichloroethylene,2011,Parts per billion Carbon,0,Macon GA
Tetrachloroethylene,1999,Parts per billion Carbon,0,Brownsville-Harlingen TX
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,
Tetrachloroethylene,2004,Parts per billion Carbon,0.05,Houston-The Woodlands-Sugar Land TX
Formaldehyde,1997,Parts per billion Carbon,2.8,Fresno CA
Dichloromethane,1996,Parts per billion Carbon,0.125,New York-Newark-Jersey City NY-NJ-PA
Nickel PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Gulfport-Biloxi-Pascagoula MS
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Jackson WY-ID
Acrolein - Unverified,2011,Parts per billion Carbon,0.23,Tampa-St. Petersburg-Clearwater FL
Manganese (TSP) STP,1992,Micrograms/cubic meter (25 C),0.017,San Diego-Carlsbad CA
Formaldehyde,2016,Parts per billion Carbon,1,Dallas-Fort Worth-Arlington TX
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2011,Micrograms/cubic meter (LC),0.002,Modesto CA
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Asheville NC
cis-13-Dichloropropene,2006,Parts per billion Carbon,0.02,Beaumont-Port Arthur TX
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0,
Arsenic (TSP) STP,1992,Micrograms/cubic meter (25 C),0,Denver-Aurora-Lakewood CO
Chromium PM10 STP,1996,Nanograms/cubic meter (25 C),7,Kansas City MO-KS
13-Butadiene,2002,Parts per billion Carbon,0,Des Moines-West Des Moines IA
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,Rome GA
Acetaldehyde,1996,Parts per billion Carbon,8.83,El Paso TX
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Portland-Vancouver-Hillsboro OR-WA
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Kalamazoo-Portage MI
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Beryllium PM10 STP,2007,Nanograms/cubic meter (25 C),0.01,St. Louis MO-IL
13-Butadiene,2010,Parts per billion Carbon,0,Longview TX
Chromium PM2.5 LC,1992,Micrograms/cubic meter (LC),0,Elko NV
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Grants Pass OR
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Trichloroethylene,1993,Parts per billion Carbon,0.14,Houston-The Woodlands-Sugar Land TX
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,Los Angeles-Long Beach-Anaheim CA
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.002,San Diego-Carlsbad CA
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Arsenic (TSP) STP,1994,Micrograms/cubic meter (25 C),0,Riverside-San Bernardino-Ontario CA
Chromium VI (TSP) STP,2009,Micrograms/cubic meter (25 C),2e-05,Detroit-Warren-Dearborn MI
Formaldehyde,2004,Parts per billion Carbon,1.1,Seattle-Tacoma-Bellevue WA
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Winona MN
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0001,Lake Havasu City-Kingman AZ
Formaldehyde,1999,Parts per billion Carbon,0.9,San Diego-Carlsbad CA
Lead PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,Houston-The Woodlands-Sugar Land TX
Dichloromethane,1991,Parts per billion Carbon,0.5,San Francisco-Oakland-Hayward CA
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Tampa-St. Petersburg-Clearwater FL
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Ethylene dichloride,1998,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Formaldehyde,1997,Parts per billion Carbon,1.9,Detroit-Warren-Dearborn MI
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0.0026,Chicago-Naperville-Elgin IL-IN-WI
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Santa Maria-Santa Barbara CA
Formaldehyde,2007,Parts per billion Carbon,1.5,New York-Newark-Jersey City NY-NJ-PA
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Knoxville TN
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0.002,Cedar Rapids IA
Nickel (TSP) STP,2013,Micrograms/cubic meter (25 C),0.01,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Berlin NH-VT
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Sacramento--Roseville--Arden-Arcade CA
12-Dichloropropane,2008,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Tetrachloroethylene,2009,Parts per billion Carbon,0.1,Boston-Cambridge-Newton MA-NH
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Lawton OK
13-Butadiene,2000,Parts per billion Carbon,0.32,Stockton-Lodi CA
Ethylene dibromide,2006,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.006,Youngstown-Warren-Boardman OH-PA
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Omaha-Council Bluffs NE-IA
Arsenic PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Chloroform,2004,Parts per billion Carbon,0.01,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00187,Klamath Falls OR
Arsenic (TSP) STP,1992,Micrograms/cubic meter (25 C),0.21,Fort Wayne IN
Arsenic (TSP) STP,2007,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Chromium VI (TSP) STP,2008,Micrograms/cubic meter (25 C),0,Los Angeles-Long Beach-Anaheim CA
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0.002,Phoenix-Mesa-Scottsdale AZ
Tetrachloroethylene,2006,Parts per billion Carbon,0,New Orleans-Metairie LA
Arsenic PM10 STP,1999,Nanograms/cubic meter (25 C),1,Los Angeles-Long Beach-Anaheim CA
Cadmium PM10 STP,1996,Nanograms/cubic meter (25 C),0,Dodge City KS
1122-Tetrachloroethane,2003,Parts per billion Carbon,0.01,Corpus Christi TX
13-Butadiene,2000,Parts per billion Carbon,0.5,Sacramento--Roseville--Arden-Arcade CA
Acetaldehyde,2015,Parts per billion Carbon,1.4,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0.002,New York-Newark-Jersey City NY-NJ-PA
trans-13-Dichloropropene,2013,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0.0034,New York-Newark-Jersey City NY-NJ-PA
Trichloroethylene,2008,Parts per billion Carbon,0.02,Washington-Arlington-Alexandria DC-VA-MD-WV
Tetrachloroethylene,2010,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
13-Butadiene,2010,Parts per billion Carbon,0.068,Tampa-St. Petersburg-Clearwater FL
Ethylene dibromide,2007,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Bakersfield CA
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Washington-Arlington-Alexandria DC-VA-MD-WV
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,Columbus OH
Beryllium PM10 STP,1990,Nanograms/cubic meter (25 C),0,Kansas City MO-KS
Nickel PM10 STP,2014,Nanograms/cubic meter (25 C),1.01,Washington-Arlington-Alexandria DC-VA-MD-WV
Acetaldehyde,2005,Parts per billion Carbon,1.652,Tampa-St. Petersburg-Clearwater FL
Nickel PM10 STP,1997,Nanograms/cubic meter (25 C),1,Bakersfield CA
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0,
trans-13-Dichloropropene,2009,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Cadmium (TSP) STP,2006,Micrograms/cubic meter (25 C),0.00125,Detroit-Warren-Dearborn MI
12-Dichloropropane,2003,Parts per billion Carbon,0.09,Miami-Fort Lauderdale-West Palm Beach FL
Acetaldehyde,2009,Parts per billion Carbon,4.6,San Diego-Carlsbad CA
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Ethylene dibromide,2006,Parts per billion Carbon,0.01,Laredo TX
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.003,Los Angeles-Long Beach-Anaheim CA
Acrolein - Unverified,2012,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
12-Dichloropropane,2001,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Sacramento--Roseville--Arden-Arcade CA
Arsenic PM2.5 LC,1997,Micrograms/cubic meter (LC),0,
trans-13-Dichloropropene,2002,Parts per billion Carbon,0.02,Dallas-Fort Worth-Arlington TX
Ethylene dibromide,2011,Parts per billion Carbon,0,El Paso TX
Formaldehyde,2002,Parts per billion Carbon,2.3,New York-Newark-Jersey City NY-NJ-PA
Chloroform,1999,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Ethylene dichloride,1999,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
12-Dichloropropane,2005,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
Arsenic PM2.5 LC,2016,Micrograms/cubic meter (LC),0,
Formaldehyde,2000,Parts per billion Carbon,1.1,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0.00087,
trans-13-Dichloropropene,2005,Parts per billion Carbon,0,Providence-Warwick RI-MA
Tetrachloroethylene,2007,Parts per billion Carbon,0.024,Tupelo MS
trans-13-Dichloropropene,2000,Parts per billion Carbon,0,Hutchinson MN
Chromium (TSP) STP,1992,Micrograms/cubic meter (25 C),0,Topeka KS
Arsenic PM2.5 LC,2015,Micrograms/cubic meter (LC),0.003,Fresno CA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.0077,Portland-Vancouver-Hillsboro OR-WA
Acetaldehyde,2009,Parts per billion Carbon,1.834,Tampa-St. Petersburg-Clearwater FL
12-Dichloropropane,2014,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM10 STP,1995,Nanograms/cubic meter (25 C),11,Bakersfield CA
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Lancaster PA
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Chloroform,2010,Parts per billion Carbon,0.026,St. Louis MO-IL
cis-13-Dichloropropene,2009,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,1997,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.006,Clarksville TN-KY
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Payson AZ
Cadmium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Cheyenne WY
Trichloroethylene,2011,Parts per billion Carbon,0,Orlando-Kissimmee-Sanford FL
Formaldehyde,2015,Parts per billion Carbon,0.5,Minneapolis-St. Paul-Bloomington MN-WI
Benzene,2015,Parts per billion Carbon,1.45,Gallup NM
Arsenic PM10 STP,2011,Nanograms/cubic meter (25 C),1,Tampa-St. Petersburg-Clearwater FL
cis-13-Dichloropropene,2010,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Formaldehyde,2008,Parts per billion Carbon,0.3875,Chicago-Naperville-Elgin IL-IN-WI
Benzene,1998,Parts per billion Carbon,0.528571,Providence-Warwick RI-MA
13-Butadiene,2009,Parts per billion Carbon,0.104762,Houston-The Woodlands-Sugar Land TX
Benzene,2006,Parts per billion Carbon,3.972727,Houston-The Woodlands-Sugar Land TX
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Grand Rapids-Wyoming MI
Cadmium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Beryllium (TSP) STP,2015,Nanograms/cubic meter (25 C),0.152,San Jose-Sunnyvale-Santa Clara CA
Cadmium (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Georgetown SC
cis-13-Dichloropropene,2012,Parts per billion Carbon,0,Birmingham-Hoover AL
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0.003,Riverside-San Bernardino-Ontario CA
Tetrachloroethylene,1996,Parts per billion Carbon,0.06,Kalamazoo-Portage MI
Tetrachloroethylene,2016,Parts per billion Carbon,0.02,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Ruidoso NM
cis-13-Dichloropropene,2007,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Arsenic (TSP) STP,2016,Micrograms/cubic meter (25 C),0.00066,Ionia MI
Tetrachloroethylene,2011,Parts per billion Carbon,0.1,Baltimore-Columbia-Towson MD
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Winston-Salem NC
Benzene,2005,Parts per billion Carbon,1.08,Ogden-Clearfield UT
13-Butadiene,1996,Parts per billion Carbon,0.28,Birmingham-Hoover AL
Chloroform,2014,Parts per billion Carbon,0.02,Burlington-South Burlington VT
cis-13-Dichloropropene,2006,Parts per billion Carbon,0.02,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,2015,Micrograms/cubic meter (LC),0,
Benzene,2005,Parts per billion Carbon,1.05,Richmond VA
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0,
13-Butadiene,2007,Parts per billion Carbon,0.159091,Houston-The Woodlands-Sugar Land TX
Benzene,2009,Parts per billion Carbon,1.6,Winston-Salem NC
Dichloromethane,2010,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),7e-05,Bennington VT
Benzene,2009,Parts per billion Carbon,6.25,St. Louis MO-IL
Lead PM10 STP,1990,Micrograms/cubic meter (25 C),0.03,Wichita KS
Acetaldehyde,2000,Parts per billion Carbon,1.2,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM10 STP,2011,Nanograms/cubic meter (25 C),7,Houston-The Woodlands-Sugar Land TX
Acetaldehyde,2015,Parts per billion Carbon,0.9,Washington-Arlington-Alexandria DC-VA-MD-WV
Benzene,1997,Parts per billion Carbon,10.8,Los Angeles-Long Beach-Anaheim CA
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Boston-Cambridge-Newton MA-NH
Acetaldehyde,2010,Parts per billion Carbon,0.8,
13-Butadiene,1991,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
1122-Tetrachloroethane,2003,Parts per billion Carbon,0,St. Louis MO-IL
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0081,Tulsa OK
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Cleveland-Elyria OH
Cadmium PM10 STP,2010,Nanograms/cubic meter (25 C),0.07,Portland-Vancouver-Hillsboro OR-WA
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Durango CO
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Grants Pass OR
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Rochester NY
Manganese PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00129,Show Low AZ
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
